SN,PROVINCE,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,14,1,0,0,19
66,KARNALI PROVINCE,RUKUM WEST,0,2,3,1,0,1,0,6,19,3,0,0,35
67,KARNALI PROVINCE,SALYAN,0,0,0,1,1,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
67,KARNALI PROVINCE,SALYAN,0 0,0,0,1,,1,1,5,16,0,0,0,25
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,56,7,0,0,112
69,SUDUR PASHCHIM PROVINCE,BAJURA,2,4,5,1,1,2,1,7,9,4,0,0,36
70,SUDUR PASHCHIM PROVINCE,BAJHANG,0,0,0,1,1,1,1,1,15,1,0,0,21
71,SUDUR PASHCHIM PROVINCE,DARCHULA,0,0,0,1,7,6,5,7,19,0,0,0,45
72,SUDUR PASHCHIM PROVINCE,BAITADI,0,0,0,0,0,3,3,16,41,3,0,0,66
73,SUDUR PASHCHIM PROVINCE,DADELDHURA,0,0,1,0,2,2,3,7,50,5,0,0,70
74,SUDUR PASHCHIM PROVINCE,DOTI,4,8,9,6,2,20,4,3,19,5,0,0,80
75,SUDUR PASHCHIM PROVINCE,ACHHAM,0,0,10,12,2,9,16,20,32,4,0,0,105
76,SUDUR PASHCHIM PROVINCE,KAILALI,1,9,7,12,7,14,23,75,92,26,0,0,266
77,SUDUR PASHCHIM PROVINCE,KANCHANPUR,6,4,7,5,4,0,9,21,58,15,0,0,129
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,50,2,0,0,143
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,5,2,0,0,12
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,24,12,0,0,117
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,14,1,0,0,38
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,43,0,0,0,146
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,26,4,0,0,106
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,9,1,0,0,41
